date,code,name
2022-05-10,5947,リンナイ
2022-05-10,5952,アマテイ
2022-05-10,6073,アサンテ
2022-05-10,6151,日東工器
2022-05-10,6193,バーチャレクス・ホールディングス
2022-05-10,6222,島精機製作所
2022-05-10,6287,サトー
2022-05-10,6322,タクミナ
2022-05-10,6337,テセック
2022-05-10,6364,ＡＩＲＭＡＮ
2022-05-10,6366,千代田化工建設
2022-05-10,6367,ダイキン工業
2022-05-10,6381,アネスト岩田
2022-05-10,6418,日本金銭機械
2022-05-10,6471,日本精工
2022-05-10,6518,三相電機
2022-05-10,6565,ＡＢホテル
2022-05-10,6629,テクノホライゾン
2022-05-10,6643,戸上電機製作所
2022-05-10,6718,アイホン
2022-05-10,6730,アクセル
2022-05-10,6741,日本信号
2022-05-10,6745,ホーチキ
2022-05-10,6750,エレコム
2022-05-10,6758,ソニーグループ
2022-05-10,6787,メイコー
2022-05-10,6841,横河電機
2022-05-10,6882,三社電機製作所
2022-05-10,6908,イリソ電子工業
2022-05-10,6928,エノモト
2022-05-10,6943,ＮＫＫスイッチズ
2022-05-10,6963,ローム
2022-05-10,6976,太陽誘電
2022-05-10,6989,北陸電気工業
2022-05-10,6997,日本ケミコン
2022-05-10,7012,川崎重工業
2022-05-10,7013,ＩＨＩ
2022-05-10,7089,フォースタートアップス
2022-05-10,7090,リグア
2022-05-10,7198,ＳＢＩアルヒ
2022-05-10,7211,三菱自動車工業
2022-05-10,7220,武蔵精密工業
2022-05-10,7461,キムラ
2022-05-10,7538,大水
2022-05-10,7565,萬世電機
2022-05-10,7615,京都きもの友禅ホールディングス
2022-05-10,7701,島津製作所
2022-05-10,7723,愛知時計電機
2022-05-10,7729,東京精密
2022-05-10,7743,シード
2022-05-10,7752,リコー
2022-05-10,7820,ニホンフラッシュ
2022-05-10,7867,タカラトミー
2022-05-10,7885,タカノ
2022-05-10,7897,ホクシン
2022-05-10,7955,クリナップ
2022-05-10,7974,任天堂
2022-05-10,7980,重松製作所
2022-05-10,7985,ネポン
2022-05-10,8005,スクロール
2022-05-10,8012,長瀬産業
2022-05-10,8020,兼松
2022-05-10,8050,セイコーグループ
2022-05-10,8085,ナラサキ産業
2022-05-10,8093,極東貿易
2022-05-10,8098,稲畑産業
2022-05-10,8131,ミツウロコグループホールディングス
2022-05-10,8158,ソーダニッカ
2022-05-10,8424,芙蓉総合リース
2022-05-10,8511,日本証券金融
2022-05-10,8566,リコーリース
2022-05-10,8841,テーオーシー
2022-05-10,8850,スターツコーポレーション
2022-05-10,8920,東祥
2022-05-10,9036,東部ネットワーク
2022-05-10,9065,山九
2022-05-10,9090,ＡＺ－ＣＯＭ丸和ホールディングス
2022-05-10,9119,飯野海運
2022-05-10,9142,九州旅客鉄道
2022-05-10,9272,ブティックス
2022-05-10,9302,三井倉庫ホールディングス
2022-05-10,9312,ケイヒン
2022-05-10,9325,ファイズホールディングス
2022-05-10,9347,日本管財ホールディングス
2022-05-10,9424,日本通信
2022-05-10,9478,ＳＥホールディングス・アンド・インキュベーションズ
2022-05-10,9519,レノバ
2022-05-10,9691,両毛システムズ
2022-05-10,9698,クレオ
2022-05-10,9832,オートバックスセブン
2022-05-10,9849,共同紙販ホールディングス
2022-05-10,9882,イエローハット
2022-05-10,9990,サックスバー　ホールディングス
2022-05-11,1762,高松コンストラクショングループ
2022-05-11,1776,三井住建道路
2022-05-11,1799,第一建設工業
2022-05-11,1820,西松建設
2022-05-11,1879,新日本建設
2022-05-11,1898,世紀東急工業
2022-05-11,1960,サンテック
2022-05-11,1980,ダイダン
2022-05-11,2136,ヒップ
2022-05-11,2152,幼児活動研究会
2022-05-11,2317,システナ
2022-05-11,2335,キューブシステム
2022-05-11,2371,カカクコム
2022-05-11,2440,ぐるなび
2022-05-11,2454,オールアバウト
2022-05-11,2497,ユナイテッド
2022-05-11,2540,養命酒製造
2022-05-11,2602,日清オイリオグループ
2022-05-11,2674,ハードオフコーポレーション
2022-05-11,2705,大戸屋ホールディングス
2022-05-11,2802,味の素
2022-05-11,2810,ハウス食品グループ本社
2022-05-11,2922,なとり
2022-05-11,2980,ＳＲＥホールディングス
2022-05-11,3156,レスター
2022-05-11,3157,ジオリーブグループ
2022-05-11,3178,チムニー
2022-05-11,3179,シュッピン
2022-05-11,3232,三重交通グループホールディングス
2022-05-11,3289,東急不動産ホールディングス
2022-05-11,3484,イノベーションホールディングス
2022-05-11,3529,アツギ
2022-05-11,3571,ソトー
2022-05-11,3626,ＴＩＳ
2022-05-11,3646,駅探
2022-05-11,3670,協立情報通信
2022-05-11,3768,リスクモンスター
2022-05-11,3771,システムリサーチ
2022-05-11,3772,ウェルス・マネジメント
2022-05-11,3834,朝日ネット
2022-05-11,3908,コラボス
2022-05-11,3926,オープンドア
2022-05-11,3929,ソーシャルワイヤー
2022-05-11,4027,テイカ
2022-05-11,4028,石原産業
2022-05-11,4044,セントラル硝子
2022-05-11,4061,デンカ
2022-05-11,4091,日本酸素ホールディングス
2022-05-11,4113,田岡化学工業
2022-05-11,4120,スガイ化学工業
2022-05-11,4202,ダイセル
2022-05-11,4231,タイガースポリマー
2022-05-11,4241,アテクト
2022-05-11,4259,エクサウィザーズ
2022-05-11,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ
2022-05-11,4403,日油
2022-05-11,4502,武田薬品工業
2022-05-11,4507,塩野義製薬
2022-05-11,4516,日本新薬
2022-05-11,4521,科研製薬
2022-05-11,4524,森下仁丹
2022-05-11,4528,小野薬品工業
2022-05-11,4538,扶桑薬品工業
2022-05-11,4559,ゼリア新薬工業
2022-05-11,4569,杏林製薬
2022-05-11,4611,大日本塗料
2022-05-11,4613,関西ペイント
2022-05-11,4617,中国塗料
2022-05-11,4619,日本特殊塗料
2022-05-11,4667,アイサンテクノロジー
2022-05-11,4680,ラウンドワン
2022-05-11,4718,早稲田アカデミー
2022-05-11,4887,サワイグループホールディングス
2022-05-11,4901,富士フイルムホールディングス
2022-05-11,4917,マンダム
2022-05-11,4925,ハーバー研究所
2022-05-11,4932,アルマード
2022-05-11,4968,荒川化学工業
2022-05-11,4970,東洋合成工業
2022-05-11,4975,ＪＣＵ
2022-05-11,5103,昭和ホールディングス
2022-05-11,5142,アキレス
2022-05-11,5284,ヤマウホールディングス
2022-05-11,5406,神戸製鋼所
2022-05-11,5446,北越メタル
2022-05-11,5631,日本製鋼所
2022-05-11,5660,神鋼鋼線工業
2022-05-11,5706,三井金属
2022-05-11,5802,住友電気工業
2022-05-11,5958,三洋工業
2022-05-11,5973,トーアミ
2022-05-11,6089,ウィルグループ
2022-05-11,6158,和井田製作所
2022-05-11,6197,ソラスト
2022-05-11,6203,豊和工業
2022-05-11,6208,石川製作所
2022-05-11,6248,横田製作所
2022-05-11,6249,ゲームカードホールディングス
2022-05-11,6292,カワタ
2022-05-11,6333,帝国電機製作所
2022-05-11,6339,新東工業
2022-05-11,6371,椿本チエイン
2022-05-11,6384,昭和真空
2022-05-11,6392,ヤマダコーポレーション
2022-05-11,6448,ブラザー工業
2022-05-11,6479,ミネベアミツミ
2022-05-11,6482,ＹＵＳＨＩＮ
2022-05-11,6513,オリジン
2022-05-11,6557,ＡＩＡＩグループ
2022-05-11,6588,東芝テック
2022-05-11,6678,テクノメディカ
2022-05-11,6703,沖電気工業
2022-05-11,6737,ＥＩＺＯ
2022-05-11,6744,能美防災
2022-05-11,6752,パナソニック　ホールディングス
2022-05-11,6753,シャープ
2022-05-11,6763,帝国通信工業
2022-05-11,6768,タムラ製作所
2022-05-11,6832,アオイ電子
2022-05-11,6919,ケル
2022-05-11,6925,ウシオ電機
2022-05-11,6996,ニチコン
2022-05-11,7004,カナデビア
2022-05-11,7018,内海造船
2022-05-11,7130,ヤマエグループホールディングス
2022-05-11,7183,あんしん保証
2022-05-11,7203,トヨタ自動車
2022-05-11,7231,トピー工業
2022-05-11,7269,スズキ
2022-05-11,7280,ミツバ
2022-05-11,7296,エフ・シー・シー
2022-05-11,7350,おきなわフィナンシャルグループ
2022-05-11,7412,アトム
2022-05-11,7421,カッパ・クリエイト
2022-05-11,7460,ヤギ
2022-05-11,7472,鳥羽洋行
2022-05-11,7482,シモジマ
2022-05-11,7486,サンリン
2022-05-11,7552,ハピネット
2022-05-11,7570,橋本総業ホールディングス
2022-05-11,7575,日本ライフライン
2022-05-11,7602,レダックス
2022-05-11,7606,ユナイテッドアローズ
2022-05-11,7619,田中商事
2022-05-11,7733,オリンパス
2022-05-11,7735,ＳＣＲＥＥＮホールディングス
2022-05-11,7832,バンダイナムコホールディングス
2022-05-11,7864,フジシールインターナショナル
2022-05-11,7906,ヨネックス
2022-05-11,7911,ＴＯＰＰＡＮホールディングス
2022-05-11,7917,ＺＡＣＲＯＳ
2022-05-11,7943,ニチハ
2022-05-11,7951,ヤマハ
2022-05-11,7979,松風
2022-05-11,7991,マミヤ・オーピー
2022-05-11,7994,オカムラ
2022-05-11,8007,高島
2022-05-11,8084,ＲＹＯＤＥＮ
2022-05-11,8086,ニプロ
2022-05-11,8089,ナイス
2022-05-11,8138,三京化成
2022-05-11,8283,ＰＡＬＴＡＣ
2022-05-11,8334,群馬銀行
2022-05-11,8377,ほくほくフィナンシャルグループ
2022-05-11,8393,宮崎銀行
2022-05-11,8399,琉球銀行
2022-05-11,8416,高知銀行
2022-05-11,8522,名古屋銀行
2022-05-11,8541,愛媛銀行
2022-05-11,8591,オリックス
2022-05-11,8715,アニコム　ホールディングス
2022-05-11,8835,太平洋興発
2022-05-11,9006,京浜急行電鉄
2022-05-11,9010,富士急行
2022-05-11,9029,ヒガシホールディングス
2022-05-11,9037,ハマキョウレックス
2022-05-11,9045,京阪ホールディングス
2022-05-11,9048,名古屋鉄道
2022-05-11,9049,京福電気鉄道
2022-05-11,9067,丸運
2022-05-11,9074,日本石油輸送
2022-05-11,9075,福山通運
2022-05-11,9130,共栄タンカー
2022-05-11,9306,東陽倉庫
2022-05-11,9322,川西倉庫
2022-05-11,9409,テレビ朝日ホールディングス
2022-05-11,9434,ソフトバンク
2022-05-11,9513,電源開発
2022-05-11,9535,広島ガス
2022-05-11,9697,カプコン
2022-05-11,9763,丸建リース
2022-05-11,9845,パーカーコーポレーション
2022-05-11,9854,愛眼
2022-05-11,9889,ＪＢＣＣホールディングス
2022-05-11,9969,ショクブン
2022-05-11,9987,スズケン
2022-05-12,1332,ニッスイ
2022-05-12,1375,ユキグニファクトリー
2022-05-12,1711,ＳＤＳホールディングス
2022-05-12,1720,東急建設
2022-05-12,1721,コムシスホールディングス
2022-05-12,1793,大本組
2022-05-12,1802,大林組
2022-05-12,1803,清水建設
2022-05-12,1807,佐藤渡辺
2022-05-12,1808,長谷工コーポレーション
2022-05-12,1811,錢高組
2022-05-12,1853,森組
2022-05-12,1867,植木組
2022-05-12,1871,ピーエス・コンストラクション
2022-05-12,1904,大成温調
2022-05-12,1909,日本ドライケミカル
2022-05-12,1926,ライト工業
2022-05-12,1938,日本リーテック
2022-05-12,1952,新日本空調
2022-05-12,1963,日揮ホールディングス
2022-05-12,1965,テクノ菱和
2022-05-12,1966,高田工業所
2022-05-12,1982,日比谷総合設備
2022-05-12,1992,神田通信機
2022-05-12,2138,クルーズ
2022-05-12,2209,井村屋グループ
2022-05-12,2269,明治ホールディングス
2022-05-12,2293,滝沢ハム
2022-05-12,2307,クロスキャット
2022-05-12,2332,クエスト
2022-05-12,2433,博報堂ＤＹホールディングス
2022-05-12,2435,シダー
2022-05-12,2445,タカミヤ
2022-05-12,2483,翻訳センター
2022-05-12,2488,ＪＴＰ
2022-05-12,2531,宝ホールディングス
2022-05-12,2585,ライフドリンク　カンパニー
2022-05-12,2588,プレミアムウォーターホールディングス
2022-05-12,2613,Ｊ－オイルミルズ
2022-05-12,2749,ＪＰホールディングス
2022-05-12,2815,アリアケジャパン
2022-05-12,2816,ダイショー
2022-05-12,2818,ピエトロ
2022-05-12,2819,エバラ食品工業
2022-05-12,2877,日東ベスト
2022-05-12,2981,ランディックス
2022-05-12,3011,バナーズ
2022-05-12,3024,クリエイト
2022-05-12,3101,東洋紡
2022-05-12,3106,倉敷紡績
2022-05-12,3107,ダイワボウホールディングス
2022-05-12,3109,シキボウ
2022-05-12,3110,日東紡績
2022-05-12,3131,シンデン・ハイテックス
2022-05-12,3151,バイタルケーエスケー・ホールディングス
