"コード","銘柄名","市場","現在値","前日比(%)","ベータ(対TOPIX)"
"3183","ウイン・パートナーズ","東P","1210","-40.0(-3.20%)","0.75"
"3184","ＩＣＤＡ　ＨＬＤＧ","東S","4400","-5.0(-0.11%)","0.30"
"3185","夢展望","東G","242","+28.0(+13.08%)","0.55"
"3186","ネクステージ","東P","3460","-50.0(-1.42%)","1.10"
"3187","ミラタップ","東G","233","-10.0(-4.12%)","0.59"
"3189","ＡＮＡＰ　ＨＬＤＧ","東S","126","-3.0(-2.33%)","0.97"
"3190","ホットマン","東S","571","+5.0(+0.88%)","0.29"
"3191","ジョイフル本田","東P","2115","-20.0(-0.94%)","0.31"
"3192","白鳩","東S","445","+5.0(+1.14%)","0.85"
"3193","エターナルホスピタリティグルー","東P","2774","-70.0(-2.46%)","0.82"
"3195","ジェネレーションパス","東G","418","+13.0(+3.21%)","0.80"
"3196","ホットランドＨＬＤＧ","東P","1582","+12.0(+0.76%)","0.47"
"3197","すかいらーくＨＬＤＧ","東P","2829.5","-55.0(-1.91%)","0.45"
"3198","ＳＦＰ　ＨＬＤＧ","東P","2264","-19.0(-0.83%)","0.41"
"3199","綿半ＨＬＤＧ","東P","1341","-26.0(-1.90%)","0.52"
"3201","日本毛織","東P","1796","-30.0(-1.64%)","0.62"
"3202","ダイトウボウ","東S","125","+0.0(+0.00%)","0.42"
"3204","トーア紡コーポレーション","東S","511","-7.0(-1.35%)","0.33"
"3205","ダイドーリミテッド","東S","764","+18.0(+2.41%)","0.77"
"3221","ヨシックスＨＬＤＧ","東P","3225","-110.0(-3.30%)","0.48"
"3222","ユナイテッド・スーパーマーケッ","東S","815","-20.0(-2.40%)","0.26"
"3223","エスエルディー","東S","890","-9.0(-1.00%)","0.58"
"3224","ゼネラル・オイスター","東G","740","+8.0(+1.09%)","0.69"
"3226","三井不動産アコモデーションファ","東REIT","126200","-1,500.0(-1.17%)","0.22"
"3231","野村不動産ＨＬＤＧ","東P","950.0","-24.3(-2.49%)","0.80"
"3232","三重交通グループＨＬＤＧ","東P","511","-9.0(-1.73%)","0.68"
"3234","森ヒルズリート投資法人","東REIT","129900","-1,500.0(-1.14%)","0.27"
"3236","プロパスト","東S","295","-8.0(-2.64%)","0.88"
"3237","イントランス","東G","69","-2.0(-2.82%)","0.65"
"3238","セントラル総合開発","東S","363","-13.0(-3.46%)","0.55"
"3241","ウィル","東S","591","-6.0(-1.01%)","0.65"
"3242","アーバネットコーポレーション","東S","531","+1.0(+0.19%)","0.60"
"3245","ディア・ライフ","東P","1013","-3.0(-0.30%)","0.76"
"3246","コーセーアールイー","東S","648","-2.0(-0.31%)","0.46"
"3248","アールエイジ","東S","844","-1.0(-0.12%)","0.56"
"3249","産業ファンド投資法人","東REIT","141300","-1,800.0(-1.26%)","0.31"
"3252","地主","東P","3130","-110.0(-3.40%)","0.90"
"3260","エスポア","名N","779","+0.0(+0.00%)","0.42"
"3261","グランディーズ","東G","395","+3.0(+0.77%)","0.41"
"3266","ファンドクリエーショングループ","東S","79","-2.0(-2.47%)","0.95"
"3267","フィル・カンパニー","東S","732","-3.0(-0.41%)","1.11"
"3269","アドバンス・レジデンス投資法人","東REIT","157700","+200.0(+0.13%)","0.19"
"3271","ＴＨＥグローバル社","東S","1279","+1.0(+0.08%)","0.87"
"3276","ＪＰＭＣ","東P","1315","-38.0(-2.81%)","0.47"
"3277","サンセイランディック","東S","1322","-63.0(-4.55%)","0.46"
"3279","アクティビア・プロパテ投資法人","東REIT","134500","-2,000.0(-1.47%)","0.30"
"3280","エストラスト","東S","905","-31.0(-3.31%)","0.66"
"3281","ＧＬＰ投資法人","東REIT","132700","-2,400.0(-1.78%)","0.23"
"3282","コンフォリア・レジデン投資法人","東REIT","105400","-500.0(-0.47%)","0.19"
"3283","日本プロロジスリート投資法人","東REIT","86500","-1,400.0(-1.59%)","0.18"
"3284","フージャースＨＬＤＧ","東P","1205","-11.0(-0.90%)","0.72"
"3286","トラストＨＬＤＧ","東S","1016","+7.0(+0.69%)","0.57"
"3287","星野リゾート・リート投資法人","東REIT","240300","-600.0(-0.25%)","0.38"
"3288","オープンハウスグループ","東P","8597.0","-356.0(-3.98%)","0.68"
"3289","東急不動産ＨＬＤＧ","東P","1301.0","-13.0(-0.99%)","0.92"
"3290","Ｏｎｅリート投資法人","東REIT","76200","-900.0(-1.17%)","0.25"
"3291","飯田グループＨＬＤＧ","東P","2103.0","-82.5(-3.77%)","0.66"
"3292","イオンリート投資法人","東REIT","122600","-1,600.0(-1.29%)","0.20"
"3293","アズマハウス","東S","772","-1.0(-0.13%)","0.37"
"3294","イーグランド","東S","4800","-5.0(-0.10%)","0.64"
"3295","ヒューリックリート投資法人","東REIT","157800","-2,200.0(-1.38%)","0.20"
"3296","日本リート投資法人","東REIT","87400","-1,000.0(-1.13%)","0.26"
"3297","東武住販","東S","1329","-19.0(-1.41%)","0.30"
"3299","ムゲンエステート","東S","1831","-4.0(-0.22%)","0.91"
"3300","アンビション　ＤＸ　ＨＬＤＧ","東G","2361","+66.0(+2.88%)","0.94"
"3302","帝国繊維","東P","3165","-35.0(-1.09%)","0.41"
"3306","日本製麻","東S","632","-12.0(-1.86%)","0.58"
"3309","積水ハウス・リート投資法人","東REIT","83600","-900.0(-1.07%)","0.23"
"3315","日本コークス工業","東P","100","+1.0(+1.01%)","1.00"
"3317","フライングガーデン","東S","1321","-8.0(-0.60%)","0.49"
"3320","クロスプラス","東S","1289","-9.0(-0.69%)","0.74"
"3321","ミタチ産業","東S","2040","+4.0(+0.20%)","1.08"
"3323","レカム","東S","70","-9.0(-11.39%)","0.72"
"3326","ランシステム","東S","619","-6.0(-0.96%)","0.64"
"3329","東和フードサービス","東S","2015","+2.0(+0.10%)","0.27"
"3333","あさひ","東P","1254","-4.0(-0.32%)","0.31"
"3346","ヒロタグループＨＬＤＧ","名N","85","+1.0(+1.19%)","0.15"
"3349","コスモス薬品","東P","6169.0","-100.0(-1.60%)","-0.04"
"3350","メタプラネット","東S","304","-24.0(-7.32%)","1.49"
"3352","バッファロー","東S","1650","-38.0(-2.25%)","0.55"
"3353","メディカル一光グループ","東S","2753","-6.0(-0.22%)","0.26"
"3355","クリヤマＨＬＤＧ","東S","1671","+10.0(+0.60%)","0.63"
"3358","Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａ","東S","95","-10.0(-9.52%)","0.62"
"3359","ｃｏｔｔａ","東G","482","-26.0(-5.12%)","0.94"
"3360","シップヘルスケアＨＬＤＧ","東P","2102.0","-42.0(-1.96%)","0.65"
"3361","トーエル","東S","846","+6.0(+0.71%)","0.36"
"3370","フジタコーポレーション","東S","545","+22.0(+4.21%)","0.72"
"3371","ソフトクリエイトＨＬＤＧ","東P","1628","+12.0(+0.74%)","0.74"
"3372","関門海","東S","219","+0.0(+0.00%)","0.45"
"3374","内外テック","東S","3040","+200.0(+7.04%)","1.02"
"3375","ＺＯＡ","東S","1820","+0.0(+0.00%)","0.63"
"3377","バイク王＆カンパニー","東S","389","-2.0(-0.51%)","0.52"
"3382","セブン＆アイＨＬＤＧ","東P","1878.5","+16.0(+0.86%)","0.58"
"3384","アークコア","名N","702","+0.0(+0.00%)","0.45"
"3386","コスモ・バイオ","東S","1233","-7.0(-0.56%)","0.54"
"3387","クリエイト・レストランツＨＬＤ","東P","712","-14.0(-1.93%)","0.38"
"3388","明治電機工業","東P","2204","+143.0(+6.94%)","1.01"
"3391","ツルハＨＬＤＧ","東P","2031.0","-75.5(-3.58%)","0.40"
"3392","デリカフーズＨＬＤＧ","東S","833","-15.0(-1.77%)","0.52"
